Token,Nombre del artículo,Nombre para el cliente,Nombre de la variante,SKU,Descripción,Categorías,Categoría de informes,Título de SEO,Descripción de SEO,Enlace permanente,GTIN,Visibilidad del artículo en Ventas en línea Square,Tipo de artículo,Peso: (kg),Título del enlace a la red social,Descripción del enlace a la red social,Envío habilitado,Pedidos de autoservicio habilitados,Entrega habilitada,Recogida habilitada,Precio,Precio de venta online,Archivados,Para vender,Contiene alcohol,Para almacenar en stock,Añadir artículo a la cuenta automáticamente,Nombre de la opción 1,Valor de la opción 1,Cantidad actual Esencia Cafe,Nueva cantidad Esencia Cafe,Alerta de existencias activada Esencia Cafe,Recuento de alerta de existencias Esencia Cafe,Conjunto de modificadores: Chocolates,Conjunto de modificadores: Croissant,Conjunto de modificadores: Frío Caliente,Conjunto de modificadores: Modif Cafes,Conjunto de modificadores: Modif Galletas,Conjunto de modificadores: Modif Matcha,Conjunto de modificadores: Opciones Late,Conjunto de modificadores: Sandwich,Conjunto de modificadores: Toppings,Conjunto de modificadores: Tostadas
73YYXJ3NENDPBVUFHQS6LZX7," Banana Bread",,Normal,A141362,,Alimentos > Horno,Alimentos > Horno,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.00,,No,,No,,Sí,,,-47,,,,No,No,No,No,No,No,No,No,No,No
VJC4MZWXDHSVNOLJTZA6ZKWC,1906,,Estándar,E919097,,Bebidas > Cervezas,Bebidas > Cervezas,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,3.00,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
KERWSAFWW3BY3QGQEBWGUXVO,Afogato,,Estándar,5717166,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,2.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
B7JQCPJVJBCE4TOJAA66JUTC,Agua,,Normal,D173642,,Bebidas > Refrescos,Bebidas > Refrescos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,1.00,,No,,No,,Sí,,,,,,,No,No,No,No,No,No,No,No,No,No
TESV34DATO622BEEWJL6YOSC,Agua con gas,,Estándar,9974718,,Bebidas > Refrescos,Bebidas > Refrescos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,1.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
EL2M7QGFVRWXJBDX63UZQUXD,Babyccino,,Estándar,937991N,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,1.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
MKQR6YQMJXSGZECQB7IREN5P,Barraquito,,Normal,297616H,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.20,,No,,No,,Sí,,,,,,,No,No,No,No,No,No,No,No,No,No
W4MTDFZX7V4GCUBQOX46DFCO,Café Americano,,Normal,393448M,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,1.20,,No,,No,,Sí,,,,,,,No,No,No,No,No,No,No,No,No,No
UG73MOTC4BDRHJ2A7UIQPK5Z,Café con Leche,,Normal,E133998,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,1.50,,No,,No,,Sí,,,,,,,No,No,No,Sí,No,No,No,No,No,No
TGC4UMRLJ3DKLTM3LGWCPSNV,Capuccino,,Normal,5492683,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.00,,No,,No,,Sí,,,,,,,No,No,No,Sí,No,No,No,No,No,No
W47BSUBIXJGVL7SUVFN2IT2D,Chocolate,,Estándar,7795765,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,2.50,,No,,No,,No,,,,,,,No,No,Sí,No,No,No,No,No,No,No
I2NPXS6KVT5VXZHBPH7RWSHV,Chocolate Navideño,,Estándar,141778L,,Café & té,Café & té,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,4.50,,No,,,,No,,,-117,,,,Sí,No,No,No,No,No,No,No,No,No
YOVKJF2ZTOI3ADORESNN76QC,Coca Cola,,Normal,F119465,,Bebidas > Refrescos,Bebidas > Refrescos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.00,,No,,No,,Sí,,,,,,,No,No,No,No,No,No,No,No,No,No
RP7BZR6XXFY733KQA4WCD575,Coca Cola Zero,,Normal,Z505317,,Bebidas > Refrescos,Bebidas > Refrescos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.00,,No,,No,,Sí,,,,,,,No,No,No,No,No,No,No,No,No,No
TYBHAIJRVLWNUEXZA63ZBYE7,Coconut Matcha,,Estándar,R371899,,Café & té > Matcha,Café & té > Matcha,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,4.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
RZ7S5PFPQSZSHDSF6RNZLTXO,Cold Cheese Foam,,Estándar,K083098,,Extras,Extras,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,2.00,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
7A6BTCWDQW3FZD3VWAVDIQKY,Corona,,Estándar,412799C,,Bebidas > Cervezas,Bebidas > Cervezas,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,3.00,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
WUXOHHBGSL5XCX3BBS2BU5LQ,Cortado,,Normal,741856F,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,1.20,,No,,No,,Sí,,,,,,,No,No,No,Sí,No,No,No,No,No,No
NL7HUZ2BKVR7KJXEWAQIT4LY,Croissant Dulce,,Normal,F527738,,Alimentos > Horno,Alimentos > Horno,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.00,,No,,No,,Sí,,,,,,,No,Sí,No,No,No,No,No,No,No,No
XWXUW2CZUSBREZZS6VXHTGCW,Croissant Salado,,Estándar,A011283,,Alimentos,Alimentos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,2.50,,No,,,,No,,,-50,,,,No,No,No,No,No,No,No,No,No,Sí
WFZVVTJTBTO3CUCVVR6RA5K2,English Breakfast,,Estándar,4330870,,,,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,2.00,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
UDUOTQH47V4EFXAHTGPVGOFD,Estrella Galicia,,Estándar,9556885,,Bebidas > Cervezas,Bebidas > Cervezas,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,1.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
X35V4DKZT2KCCEILCUXXAXJM,Expreso Doble,,Estándar,4007159,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,1.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
FAPFP5IDJYIC7FESBHLKE5SU,Expresso,,Normal,R104987,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,1.20,,No,,No,,Sí,,,,,,,No,No,No,No,No,No,No,No,No,No
ZWK7DW6YVN35CP5Q6U7USKLM,Fanta Limon,,Normal,S174721,,Bebidas > Refrescos,Bebidas > Refrescos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.00,,No,,No,,Sí,,,,,,,No,No,No,No,No,No,No,No,No,No
JUZD6R2BV7VWRO2SZ5QKEQ5N,Fanta Naranja,,Normal,898473B,,Bebidas > Refrescos,Bebidas > Refrescos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.00,,No,,No,,Sí,,,,,,,No,No,No,No,No,No,No,No,No,No
653B5DNHRLVDFB4ZRRKSB2X4,Flat white,,Estándar,3672977,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.20,,No,,No,,No,,,,,,,No,No,No,Sí,No,No,No,No,No,No
J2XYD7IC3UJEX5MDRDACGF6R,Galleta,,Normal,812457S,,Alimentos > Horno,Alimentos > Horno,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,3.00,,No,,No,,Sí,,,,,,,No,No,No,No,Sí,No,No,No,No,No
AA265T65QQSHTIQ7JNEXDP4E,Helado Vainilla,,Estándar,913601Q,,Extras,Extras,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,2.00,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
ESESQPVYT3PQNBXPNFZ6ZXFM,Ice Americano,,Estándar,L961055,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,1.50,,No,,,,No,,,-11,,,,No,No,No,No,No,No,No,No,No,No
TLB773NY4XMCJ54VJNELJPZS,Late Macchiato,,Estándar,143947Y,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,3.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
SXACH4IEAS6BRHUFTPTZHNUV,Latte,,Normal,432512T,,Café & té > Café,Café & té > Café,,,,,oculto,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.50,,No,,No,,Sí,,,,,,,No,No,No,No,No,No,Sí,No,No,No
7DBP3R55HQYNEKV25WRA5XP6,Leche Avena extra,,Estándar,R328624,,Extras,Extras,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,0.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
SO5VVHASP6DA3I6HM22K7C32,Leche Soja extra,,Estándar,X223282,,Extras,Extras,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,0.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
LORP3RE4VIXV2LQCRLWJDUSO,Leche y Leche,,Normal,Y518642,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,1.60,,No,,No,,Sí,,,,,,,No,No,No,Sí,No,No,No,No,No,No
TOJG3LVSNDERWXB7354IOGUM,Matcha Clásico,,Normal,436351H,,Café & té > Matcha,Café & té > Matcha,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,4.50,,No,,No,,Sí,,,,,,,No,No,No,No,No,Sí,No,No,No,No
XFAVLSWXN6OIK6INPPNJOXXS,Matcha Mango,,Estándar,8651832,,Café & té > Matcha,Café & té > Matcha,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,4.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
472WHNKZWTFPMLDZX3WYKY4L,Matcha Maracuyá ,,Estándar,5938559,,Café & té > Matcha,Café & té > Matcha,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,4.50,,No,,,,No,,,-88,,,,No,No,No,No,No,No,No,No,No,No
OOGZIJ5JOHAP23VEIEZSAJYJ,MiniPancakes,,Normal,,,Alimentos,Alimentos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,3.50,,No,,No,,No,,,,,,,No,No,No,No,No,No,No,No,Sí,No
WKTYOXHEXUKOA3HKXPWV6CIH,Nestea,,Normal,V138295,,Bebidas > Refrescos,Bebidas > Refrescos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.50,,No,,No,,Sí,,,,,,,No,No,No,No,No,No,No,No,No,No
K24YRPMAUXVP2FEW5GBRIK53,Saldo 50,,Estándar,336901H,,,,,,,,visible,Bebidas y alimentos preparados,,,,,Sí,,,50.00,,No,,,,No,,,100,,,,No,No,No,No,No,No,No,No,No,No
UMK67IVIXC7AFOKNZV3J3NQS,Sandwich,,Normal,2549766,,Alimentos,Alimentos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,4.00,,No,,No,,Sí,,,-260,,,,No,No,No,No,No,No,No,Sí,No,No
D6T5YISWO7SDT3ESH345UW4J,Smoothie Açaí Arándanos Mango Plátano ,,Estándar,8698797,,Bebidas > Smoothies,Bebidas > Smoothies,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,4.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
CXJN372JQRY6J3OE4UABYYFD,Smoothie Espinaca Piña Pepino,,Estándar,9488024,,Bebidas > Smoothies,Bebidas > Smoothies,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,4.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
6MNMQDI3TJVOANK4U33SY7LX,Smoothie Espirulina Mango Platano Piña Melocoton Coco,,Normal,355041E,,Bebidas > Smoothies,Bebidas > Smoothies,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,4.50,,No,,No,,Sí,,,-149,,,,No,No,No,No,No,No,No,No,No,No
DRMDT6TQ5NNGRDAJAXM4KXL2,Smoothie Fresa Plátano ,,Estándar,5612220,,Bebidas > Smoothies,Bebidas > Smoothies,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,4.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
VKTR2JCGTUW5J3HZOSLA2O4W,Smoothie Maracuya Piña Mango Limon,,Normal,799054D,,Bebidas > Smoothies,Bebidas > Smoothies,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,4.50,,No,,No,,Sí,,,-303,,,,No,No,No,No,No,No,No,No,No,No
RMRCL53YITMZN7DYTMSLJ5WX,Smoothie Piña Mango Papaya,,Estándar,552937B,,Bebidas > Smoothies,Bebidas > Smoothies,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,4.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
YVNTAW5E7APQQF3UM6NO5SBM,Smoothie Platano Coco Piña,,Estándar,5936724,,Bebidas > Smoothies,Bebidas > Smoothies,,,,,visible,Bebidas y alimentos preparados,,,,,,,,4.50,,No,,,,No,,,-6,,,,No,No,No,No,No,No,No,No,No,No
7LD5SCRU2HQW5JSVL2TVYYZ2,Sprite,,Normal,X488119,,Bebidas > Refrescos,Bebidas > Refrescos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.00,,No,,No,,Sí,,,,,,,No,No,No,No,No,No,No,No,No,No
3FUF6VOKHEJMANGWUCDY7VYY,Strawberry Matcha,,Estándar,954616B,,Café & té > Matcha,Café & té > Matcha,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,4.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
BCUBNS7Q32QBVHOPFG5REXL2,Tarta Manzana,,Estándar,659880Y,,Alimentos > Horno,Alimentos > Horno,,,,,visible,Bebidas y alimentos preparados,,,,,,,,3.50,,No,,,,No,,,-2,,,,No,No,No,No,No,No,No,No,No,No
WUELM4P36VFPI5H3KKUAZ4G5,Te English Breakfast,,Estándar,815959R,,Café & té > Te,Café & té > Te,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,1.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
VBYB3E6ECE6EPVPF4GFJS6IZ,Te F Bosque,,Estándar,5423883,,Café & té > Te,Café & té > Te,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,1.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
YVEV3KSXH7WC5H2BZTT7UV2P,Te Frio F Rojos,,Estándar,M378007,,Bebidas > Te Frio,Bebidas > Te Frio,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,2.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
PJG2HC2M3HGOPNBCQJMRGGI4,Te Frio Limon,,Estándar,Q914907,,Bebidas > Te Frio,Bebidas > Te Frio,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,2.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
4FWW3ZSMY7VHOBV6FKAQDAUF,Te Frio Tropical,,Estándar,3876068,,Bebidas > Te Frio,Bebidas > Te Frio,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,2.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
JXOKRN7M2RE3EEUHLWBYD3OY,Te Frío Melón,,Estándar,458870P,,Bebidas > Te Frio,Bebidas > Te Frio,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,2.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
ATYXUMHCG624LGAVNHGL4W73,Te Manzanilla ,,Estándar,7469216,,Café & té > Te,Café & té > Te,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,1.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
2UGXXPYQRIRQTL67WHQAE6JB,Te Menta,,Estándar,9856621,,Café & té > Te,Café & té > Te,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,1.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
GBB65BCPPRF25EIWX734VDGZ,Te Rooibos,,Estándar,R509018,,Café & té > Te,Café & té > Te,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,1.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
T3HKRYM3UJHMYDM2G4AKB2BO,Tosta Aguacate,,Estándar,5879684,,,,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,4.50,,No,,No,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
OYRC3FUQST5TV7YA3FD2FW5V,Tosta Aguacate y Jamón,,Estándar,491277Z,,,,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,5.50,,No,,No,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
JCGJNIL6XRODR2NT74JA6GAT,Tosta Salmón,,Estándar,868048B,,,,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,6.50,,No,,No,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
R75KX7IGAC5UAB6MYR6RJ2RL,Tostada Serrano QCrema,,Estándar,6450030,,,,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,5.00,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
GSBKK2JGCDUW2G4FHQEXT2EQ,Tostas,,Normal,W101869,,Alimentos,Alimentos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,1.50,,No,,No,,Sí,,,-4001,,,,No,No,No,No,No,No,No,No,No,Sí
ZFN7QVGUDPPM3PQ6ILDFYL5M,Té Frío Melocotón ,,Estándar,2631552,,Bebidas > Te Frio,Bebidas > Te Frio,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,2.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
XXH4AU6FGIZQQUAWZKKLWMTE,Té Frío Piña Coco,,Estándar,3008231,,Bebidas > Te Frio,Bebidas > Te Frio,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,2.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
56OHT7PV7WFZF4GWIP7WIIPN,Yogur Avena,,Estándar,7383519,,Alimentos,Alimentos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,6.00,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,Sí,No
MT5JKHZXSHCFO7YVL2CSZW3P,Yogur Granola,,Estándar,201975J,,Alimentos,Alimentos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,6.00,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
U6GU6I7GBQWPSPYFLW53XC7B,Zumo Naranja,,Estándar,1479908,,Bebidas > Refrescos,Bebidas > Refrescos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,3.00,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
4NLQWZIJBXFPVVE2WE7252MF,Zumo mango,,Estándar,3720113,,Bebidas > Refrescos,Bebidas > Refrescos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,2.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
